ID,用户名,头像链接,评论时间,评论内容
228963399504,少年遊丶,https://i0.hdslb.com/bfs/face/4c8f5bc3304fe3751eb5868a53e7cff39270eed7.jpg,2024.06.30,回复 @迷失在晩风里 :孩子无休止作战的日子太苦了
228967715712,冰夜幻梦,https://i0.hdslb.com/bfs/face/5a2db098c114d33d7bed369600a765c9ea8edc08.jpg,2024.06.30,回复 @流浪の闲猫o :拉格默和终末有关系吗？
228968614640,爰吃人的蚂蚁,https://i0.hdslb.com/bfs/face/member/noface.jpg,2024.06.30,回复 @冰夜幻梦 :没有，但失商应该和虚无终未中的一个有关
228985679216,卖药翁,https://i0.hdslb.com/bfs/face/ead159f5c689388fedee691b14ea6bc05b73493e.jpg,2024.06.30,回复 @爰吃人的蚂蚁 :失熵是在创造铁骑时就有的，不是受命途影响导致的。
229004982368,刘奶不是牛奶,https://i2.hdslb.com/bfs/face/8e89a47ceaba00f839530fc488bf2ea87cb6000e.jpg,2024.06.30,回复 @冰夜幻梦 :剧情中就是终末命途上的(星核猎手)
229005032816,布布娅,https://i2.hdslb.com/bfs/face/509a1841663a50f5ac7465eb0fe71b320b040faa.jpg,2024.06.30,回复 @流浪の闲猫o :看不懂字 走了[墨镜]
229018002272,无铭VanUC,https://i2.hdslb.com/bfs/face/f646a8a01f8cba1f7ee3263f30c6890759ca9514.jpg,2024.07.01,回复 @流浪の闲猫o :没有，流萤是行走的命途的，这点在动画短片里体现了，但绝不是终末，失熵是所有铁骑与生俱来的
229103622064,杨超越MK2000型,https://i0.hdslb.com/bfs/face/1e4d073837f1761a216c3970b44de6d6673b6872.jpg,2024.07.01,笑了，发完就注销
229153635088,HOOHwsd,https://i2.hdslb.com/bfs/face/dcfa24ea2535465a0c744fd3a109aa14e0a7db52.jpg,2024.07.01,哥们开盒有点不对吧[笑哭]
229154322864,杨超越MK2000型,https://i0.hdslb.com/bfs/face/1e4d073837f1761a216c3970b44de6d6673b6872.jpg,2024.07.01,回复 @HOOHwsd :这个叫开盒？你要不要去搜一搜这个东西是拿来干嘛的[笑哭]
229154687792,HOOHwsd,https://i2.hdslb.com/bfs/face/dcfa24ea2535465a0c744fd3a109aa14e0a7db52.jpg,2024.07.01,回复 @杨超越MK2000型 :这东西是干嘛的，用来找到b站用户的吗？
229208915824,新建文件夹6,https://i1.hdslb.com/bfs/face/8a7ef5840dabedf2e3825f6fe861cdfb9195ae2a.jpg,2024.07.02,回复 @HOOHwsd :这也叫开盒啊😦
229214994800,HOOHwsd,https://i2.hdslb.com/bfs/face/dcfa24ea2535465a0c744fd3a109aa14e0a7db52.jpg,2024.07.02,回复 @新建文件夹6 :正常人能通过弹幕直接找到用户吗？
229221421200,冰封之翼s,https://i2.hdslb.com/bfs/face/c6421af4ec5364bc0afdcf6b9773912c61153e81.jpg,2024.07.02,回复 @HOOHwsd :弹幕的话在电脑端和up主那边是能看到发送者的用户ID的
